,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
25,26.0,배틀쉽,2012-04-11,16545921500.0,0.012,2241687.0,736.0,53109.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,SF,94.0,마이클 밀러,4.0,봄
26,27.0,장화신은 고양이,2012-01-12,17602643500.0,0.012,2080445.0,593.0,45451.0,미국,미국,(주)씨제이이엔엠,전체 관람가,애니메이션,102.0,조엘 크로포드,1.0,겨울
27,28.0,타워,2012-12-25,14658256500.0,0.01,2014589.0,617.0,22278.0,한국,한국,(주)씨제이이엔엠,12세 관람가,드라마,121.0,김지훈,12.0,겨울
28,29.0,코리아,2012-05-03,13448848500.0,0.009,1872681.0,537.0,49679.0,한국,한국,(주)씨제이이엔엠,12세 관람가,드라마,127.0,문현성,5.0,봄
29,30.0,나의 PS 파트너,2012-12-06,13548606616.0,0.01,1786831.0,552.0,37625.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,멜로/로맨스,114.0,변성현,12.0,겨울
30,31.0,반창꼬,2012-12-19,12459852719.0,0.009,1730535.0,466.0,26039.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,120.0,정기훈,12.0,겨울
31,32.0,러브픽션,2012-02-29,13200412500.0,0.009,1726202.0,617.0,44130.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,멜로/로맨스,121.0,전계수,2.0,겨울
32,33.0,언터처블: 1%의 우정,2012-03-22,12735040000.0,0.009,1720472.0,454.0,48976.0,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),12세 관람가,코미디,112.0,올리비에르 나카체,3.0,봄
33,34.0,아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704.0,0.009,1648110.0,501.0,26899.0,미국,미국,이십세기폭스코리아(주),전체 관람가,애니메이션,92.0,스티브 마티노,7.0,여름
34,35.0,공모자들,2012-08-29,12240964500.0,0.009,1646142.0,496.0,44959.0,한국,한국,"씨너스엔터테인먼트(주),타임스토리그룹(주)",청소년 관람불가,범죄,111.0,김홍선,8.0,여름
35,36.0,마다가스카3 : 이번엔 서커스다!,2012-06-06,12521043500.0,0.009,1629799.0,564.0,34150.0,미국,미국,(주)씨제이이엔엠,전체 관람가,애니메이션,94.0,에릭 다넬,6.0,여름
36,37.0,하울링,2012-02-16,11765293500.0,0.008,1612554.0,550.0,44753.0,한국,한국,(주)씨제이이엔엠,15세 관람가,범죄,114.0,유하,2.0,겨울
37,38.0,용의자X,2012-10-18,11241013000.0,0.008,1552055.0,553.0,42989.0,한국,한국,(주)씨제이이엔엠,15세 관람가,미스터리,119.0,방은진,10.0,가을
38,39.0,새미의 어드벤쳐 2,2012-08-01,10856204000.0,0.008,1457380.0,486.0,26436.0,벨기에,벨기에,(주)씨제이이엔엠,전체 관람가,애니메이션,92.0,벤 스타센,8.0,여름
39,40.0,차형사,2012-05-30,9752555296.0,0.0069999999999999,1346754.0,433.0,39152.0,한국,한국,(주)씨제이이엔엠,15세 관람가,코미디,110.0,신태라,5.0,봄
40,41.0,은교,2012-04-25,9918274444.0,0.0069999999999999,1346359.0,521.0,41683.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,멜로/로맨스,129.0,정지우,4.0,봄
41,42.0,간첩,2012-09-20,9316548500.0,0.0069999999999999,1310895.0,576.0,41726.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,115.0,우민호,9.0,가을
42,43.0,간기남,2012-04-11,9356404500.0,0.0069999999999999,1246185.0,396.0,38155.0,한국,한국,(주)쇼박스,청소년 관람불가,스릴러,117.0,김형준,4.0,봄
43,44.0,메리다와 마법의 숲,2012-09-27,9024766000.0,0.006,1231024.0,479.0,22087.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체 관람가,애니메이션,102.0,마크 앤드류스,9.0,가을
44,45.0,토탈 리콜,2012-08-15,8958236000.0,0.006,1219637.0,448.0,27089.0,미국,"미국,캐나다",한국소니픽쳐스릴리징브에나비스타영화㈜,15세 관람가,액션,118.0,렌 와이즈먼,8.0,여름
45,46.0,R2B: 리턴투베이스,2012-08-15,8602921371.0,0.006,1201944.0,539.0,32881.0,한국,한국,(주)씨제이이엔엠,15세 관람가,액션,113.0,김동원,8.0,여름
46,47.0,돈의 맛,2012-05-17,8780178611.0,0.006,1166018.0,643.0,36922.0,한국,"한국,필리핀","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년 관람불가,드라마,115.0,임상수,5.0,봄
47,48.0,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000.0,0.0069999999999999,1149628.0,398.0,27236.0,미국,미국,워너브러더스 코리아(주),전체 관람가,액션,94.0,브래드 페이튼,1.0,겨울
48,49.0,회사원,2012-10-11,8321175000.0,0.006,1110523.0,549.0,41275.0,한국,한국,(주)쇼박스,청소년 관람불가,액션,96.0,임상윤,10.0,가을
49,50.0,가디언즈,2012-11-29,8083010500.0,0.006,1056250.0,470.0,21045.0,미국,미국,(주)씨제이이엔엠,12세 관람가,액션,88.0,사릭 안드레아시안,11.0,가을
50,51.0,점박이:한반도의 공룡3D,2012-01-26,9681445500.0,0.0069999999999999,1050852.0,457.0,22475.0,한국,한국,(주)씨제이이엔엠,전체 관람가,애니메이션,90.0,한상호,1.0,겨울
51,52.0,본 레거시,2012-09-06,7412233000.0,0.005,1015711.0,585.0,31628.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,액션,135.0,토니 길로이,9.0,가을
52,53.0,가문의 영광5 - 가문의 귀환,2012-12-19,7245056500.0,0.005,1012223.0,447.0,22573.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,104.0,정용기,12.0,겨울
53,54.0,시체가 돌아왔다,2012-03-29,7360631000.0,0.005,986923.0,435.0,36705.0,한국,한국,(주)씨제이이엔엠,15세 관람가,범죄,110.0,우선호,3.0,봄
54,55.0,원더풀 라디오,2012-01-05,7193596000.0,0.005,977470.0,474.0,29167.0,한국,한국,(주)쇼박스,15세 관람가,드라마,120.0,권칠인,1.0,겨울
55,56.0,돈 크라이 마미,2012-11-22,6798882099.0,0.005,972962.0,444.0,29539.0,한국,한국,(주)에스비에스콘텐츠허브,15세 관람가,스릴러,91.0,김용한,11.0,가을
56,57.0,프로메테우스,2012-06-06,8600146099.0,0.006,971482.0,521.0,31629.0,미국,미국,이십세기폭스코리아(주),청소년 관람불가,SF,123.0,리들리 스콧,6.0,여름
57,58.0,스텝업4 : 레볼루션,2012-08-15,7157894000.0,0.005,953871.0,281.0,23522.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,멜로/로맨스,98.0,스콧 스피어,8.0,여름
58,59.0,점쟁이들,2012-10-03,6731202500.0,0.005,953682.0,479.0,31577.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,코미디,119.0,신정원,10.0,가을
59,60.0,셜록홈즈 : 그림자 게임,2011-12-21,7168608500.0,0.005,949299.0,360.0,25140.0,미국,미국,워너브러더스 코리아(주),15세 관람가,액션,128.0,가이 리치,12.0,겨울
60,61.0,타이탄의 분노,2012-03-29,7591124500.0,0.005,893027.0,535.0,33580.0,미국,미국,워너브러더스 코리아(주),12세 관람가,액션,99.0,조나단 리브스만,3.0,봄
61,62.0,디스 민즈 워,2012-02-29,6661435000.0,0.005,873396.0,351.0,32790.0,미국,미국,이십세기폭스코리아(주),15세 관람가,액션,97.0,맥지,2.0,겨울
62,63.0,미확인 동영상 : 절대클릭금지,2012-05-30,5939840500.0,0.004,867386.0,361.0,25059.0,한국,한국,(주)쇼박스,15세 관람가,공포,93.0,김태경,5.0,봄
63,64.0,존 카터: 바숨 전쟁의 서막,2012-03-08,7229870500.0,0.005,838126.0,508.0,30760.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세 관람가,SF,132.0,앤드류 스탠튼,3.0,봄
64,65.0,나는 왕이로소이다,2012-08-08,5455343404.0,0.004,790181.0,471.0,21898.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,드라마,120.0,장규성,8.0,여름
65,66.0,토르: 마법망치의 전설,2012-02-09,5550797500.0,0.004,768426.0,383.0,18742.0,아이슬란드,아이슬란드,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",전체 관람가,애니메이션,83.0,오스카 요나손,2.0,겨울
66,67.0,퍼펙트 게임,2011-12-21,5224000500.0,0.004,695312.0,396.0,21284.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,드라마,127.0,박희곤,12.0,겨울
67,68.0,스노우 화이트 앤 더 헌츠맨,2012-05-30,4646250000.0,0.003,636631.0,447.0,20647.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),12세 관람가,판타지,127.0,루퍼트 샌더스,5.0,봄
68,69.0,주먹왕 랄프,2012-12-19,4473562000.0,0.003,616863.0,361.0,9560.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,112.0,필 존스턴,12.0,겨울
69,70.0,미쓰GO,2012-06-21,4441859000.0,0.003,611685.0,440.0,24851.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,코미디,115.0,박철관,6.0,여름
70,71.0,헝거게임: 판엠의 불꽃,2012-04-05,4478418000.0,0.003,607956.0,514.0,24924.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,판타지,142.0,게리 로스,4.0,봄
